id,nombre,numero,categoria,message_count,last_activity,analyzed,tipo_detectado,ambiente,name,number,category
1216573417692856400,,,,0,Sin actividad,False,,,👋¡𝙎𝙖𝙡𝙪𝙙𝙤𝙨-𝙫𝙞𝙖𝙟𝙚𝙧𝙤,1.0,Información
1206991877090443315,,,,1,2024-12-17T04:43:47.852000+00:00,False,,,📃𝙉𝙤𝙧𝙢𝙖𝙨-𝙂𝙚𝙣𝙚𝙧𝙖𝙡𝙚𝙨,2.0,Información
1318434272733822978,,,,44,2025-05-22T01:02:59.955000+00:00,False,,,📣𝘼𝙉𝙐𝙉𝘾𝙄𝙊𝙎,3.0,Información
1216583829226262528,,,,0,Sin actividad,False,,,🙌𝘼𝙪𝙩𝙤𝙧𝙤𝙡𝙚𝙨,4.0,Información
1313319709638131852,,,,40,2025-04-30T06:50:12.443000+00:00,False,,,✏𝘼𝙪𝙩𝙤𝙧,5.0,Información
1206991877753020436,,,,89,2025-05-29T22:23:27.324000+00:00,False,,,🗣𝙂𝙚𝙣𝙚𝙧𝙖𝙡,6.0,Canales de texto
1318625936694054962,,,,82,2025-05-30T02:11:49.518000+00:00,False,,,🤡𝙈𝙚𝙢𝙚𝙨,7.0,Canales de texto
1318626660165091328,,,,63,2025-05-19T15:13:23.459000+00:00,False,,,🎨𝘼𝙧𝙩𝙚,8.0,Canales de texto
1318627230435512360,,,,60,2025-05-29T20:08:24.703000+00:00,False,,,🤖𝙄𝘼-𝘼𝙧𝙩𝙚,9.0,Canales de texto
1324470954935451739,,,,61,2025-05-28T00:34:31.452000+00:00,False,,,𝑩𝒖𝒔𝒄𝒂𝒓-𝒓𝒐𝒍,10.0,Canales de texto
1331046492743532646,,,,80,2025-05-21T01:15:01.069000+00:00,False,,,nsfw,11.0,Canales de texto
1261399098947272734,,,,0,Sin actividad,False,,,canciones,12.0,Canales de voz
1318400498583339091,,,,1,2025-02-07T04:09:30.934000+00:00,False,,,📌𝗧𝗶𝗰𝗸𝗲𝘁,13.0,📌|𝗧𝗶𝗰𝗸𝗲𝘁
1326391517744595045,,,,70,2025-05-29T02:21:03.481000+00:00,False,,,👂-𝑺𝒖𝒈𝒆𝒓𝒆𝒏𝒄𝒊𝒂𝒔,14.0,📌|𝗧𝗶𝗰𝗸𝗲𝘁
1287269580305207296,,,,5,2024-09-22T04:46:21.119000+00:00,False,,,𝙄𝙣𝙛𝙤𝙧𝙢𝙖𝙘𝙞𝙤𝙣-𝙐𝙣𝙞𝙩𝙮,15.0,Información Rol Unity
1287268696175280158,,,,6,2024-12-20T03:29:21.258000+00:00,False,,,𝙃𝙞𝙨𝙩𝙤𝙧𝙞𝙖-𝙐𝙣𝙞𝙩𝙮,16.0,Información Rol Unity
1318797288293924915,,,,2,2024-12-20T02:25:57.932000+00:00,False,,,📖𝑵𝒐𝒓𝒎𝒂𝒔-𝑹𝒐𝒍,17.0,Información Rol Unity
1318797883474055190,,,,3,2024-12-18T17:54:37.809000+00:00,False,,,🔎-𝑮𝒖𝒊𝒂-𝑹𝒐𝒍,18.0,Información Rol Unity
1318798253134970931,,,,15,2024-12-30T02:57:08.772000+00:00,False,,,🎲𝑺𝒊𝒔𝒕𝒆𝒎𝒂-𝒅𝒆-𝑫𝒂𝒅𝒐𝒔,19.0,Información Rol Unity
1326399546737299497,,,,82,2025-05-26T16:39:06.667000+00:00,False,,,🦄𝑴𝒐𝒏𝒔𝒕𝒓𝒖𝒐𝒔-𝒚-𝑪𝒓𝒊𝒂𝒕𝒖𝒓𝒂𝒔,20.0,Información Rol Unity
1340764550554980382,,,,10,2025-03-23T04:26:26.757000+00:00,False,,,✡𝑹𝒖𝒏𝒂𝒔-𝒀-𝑶𝒕𝒓𝒂𝒔-𝒄𝒐𝒔𝒂𝒔,21.0,Información Rol Unity
1323002258148823132,,,,7,2024-12-30T01:27:12.745000+00:00,False,,,🍄⚗𝑶𝒃𝒋𝒆𝒕𝒐𝒔,22.0,Información Rol Unity
1318798674540756992,,,,2,2025-01-24T19:42:14.621000+00:00,False,,,👣💰-𝑬𝒄𝒐𝒏𝒐𝒎𝒊𝒂-𝒚-𝑫𝒆𝒔𝒑𝒍𝒂𝒛𝒂𝒎𝒊𝒆𝒏𝒕𝒐,23.0,Información Rol Unity
1318799618904952873,,,,2,2024-12-20T02:16:03.826000+00:00,False,,,🌍𝑴𝒂𝒑𝒂-𝑼𝒏𝒊𝒕𝒚,24.0,Información Rol Unity
1326060440396103730,,,,99,2025-05-11T22:45:40.168000+00:00,False,,,𝙏𝙞𝙚𝙢𝙥𝙤-𝙮-𝘾𝙡𝙞𝙢𝙖,25.0,Información Rol Unity
1333534754200490126,,,,4,2025-03-18T03:56:06.533000+00:00,False,,,🌍𝑼𝒏𝒊𝒕𝒚-𝑵𝒆𝒘𝒔,26.0,🌍 ＭᑌＮᗪＯ ＵᑎＩ丅Ｙ
1212604957841424414,,,,28,2025-05-24T18:19:16.190000+00:00,False,,,𝘼𝙧𝙚𝙣𝙖-𝘼𝙧𝙘𝙖𝙣𝙖-🏜🏜,27.0,🌍 ＭᑌＮᗪＯ ＵᑎＩ丅Ｙ
1213929968636264449,,,,8,2025-05-27T01:41:25.883000+00:00,False,,,𝙍𝙪𝙞𝙣𝙖𝙨-𝙍𝙤𝙘𝙤𝙨𝙖𝙨🌄🌄,28.0,🌍 ＭᑌＮᗪＯ ＵᑎＩ丅Ｙ
1213931961677258902,,,,20,2025-05-25T05:20:28.767000+00:00,False,,,𝙕𝙤𝙣𝙖-𝘾𝙚𝙧𝙤-☢☢,29.0,🌍 ＭᑌＮᗪＯ ＵᑎＩ丅Ｙ
1213939266233835620,,,,22,2025-05-29T20:06:33.146000+00:00,False,,,𝘽𝙤𝙨𝙦𝙪𝙚-𝙊𝙡𝙫𝙞𝙙𝙤👥👥,30.0,🌍 ＭᑌＮᗪＯ ＵᑎＩ丅Ｙ
1342641531089326201,,,,29,2025-04-12T17:45:32.018000+00:00,False,,,𝑪𝒐𝒎𝒊𝒕𝒆-𝑰𝒏𝒕𝒆𝒓𝒏𝒂𝒄𝒊𝒐𝒏𝒂𝒍-𝒅𝒆-𝑼𝒏𝒊𝒕𝒚,31.0,🌍 ＭᑌＮᗪＯ ＵᑎＩ丅Ｙ
1339225905439965214,,,,31,2025-05-08T01:01:30.698000+00:00,False,,,templo-de-atenea-ruinas,32.0,🌍 ＭᑌＮᗪＯ ＵᑎＩ丅Ｙ
1347450586223870042,,,,17,2025-03-08T15:25:38.528000+00:00,False,,,cuarto-de-gilgamesh,33.0,𝕀𝕄ℙ𝔼ℝ𝕀𝕆 𝕊𝔸ℍ𝔼𝕃  🏜
1355761103921221783,,,,17,2025-04-05T19:13:15.261000+00:00,False,,,mares-de-babilonia,34.0,𝕀𝕄ℙ𝔼ℝ𝕀𝕆 𝕊𝔸ℍ𝔼𝕃  🏜
1333652887292612608,,,,8,2025-05-18T03:56:32.567000+00:00,False,,,𝑻𝒂𝒃𝒍𝒐𝒏-𝑯𝒖𝒎𝒂𝒏𝒐𝒔,35.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1215506081183432734,,,,3,2024-12-21T20:10:06.228000+00:00,False,,,𝙄𝙣𝙛𝙤𝙧𝙢𝙖𝙘𝙞ó𝙣-𝙃𝙪𝙢𝙖𝙣𝙤𝙨,36.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1370997615583297627,,,,6,2025-05-18T00:58:33.794000+00:00,False,,,𝗕𝗔𝗥𝗥𝗜𝗢𝗦-𝗕𝗔𝗝𝗢𝗦,37.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1344867692858966037,,,,22,2025-05-25T05:44:21.412000+00:00,False,,,almacen-de-hendricson,38.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1320128690637766778,,,,9,2025-05-10T20:48:33.326000+00:00,False,,,𝑩𝒊𝒃𝒍𝒊𝒐𝒕𝒆𝒄𝒂-𝒉𝒖𝒎𝒂𝒏𝒂,39.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1209718425300238436,,,,21,2025-05-12T17:43:39.523000+00:00,False,,,𝙋𝙪𝙚𝙧𝙩𝙤-𝙃𝙪𝙢𝙖𝙣𝙤⛵🚢⚓,40.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1345587717995757609,,,,23,2025-05-11T07:04:34.411000+00:00,False,,,zona-costera-rocosa-y-acantilados,41.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1209719048313634846,,,,17,2025-05-11T18:16:08.555000+00:00,False,,,𝙋𝙪𝙚𝙗𝙡𝙤-𝙇𝙖-𝘾𝙤𝙢𝙖𝙧𝙘𝙖🏡,42.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1324934115899740244,,,,15,2025-05-22T14:20:16.290000+00:00,False,,,casa-yagami,43.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1336923451411267666,,,,34,2025-04-24T04:41:15.682000+00:00,False,,,floreria-nomi,44.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1328539144938324029,,,,19,2025-05-27T04:38:35.080000+00:00,False,,,𝑩𝒐𝒔𝒒𝒖𝒆-𝑳𝒂-𝑪𝒐𝒎𝒂𝒓𝒄𝒂,45.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1329647273034121216,,,,23,2025-04-24T04:22:26.967000+00:00,False,,,𝑩𝒂𝒓-𝒍𝒂-𝑪𝒐𝒎𝒂𝒓𝒄𝒂,46.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1330338169211584553,,,,27,2025-04-22T05:16:45.986000+00:00,False,,,cementerio-recuerdo,47.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1209718601586835567,,,,27,2025-05-29T22:46:22.369000+00:00,False,,,𝙈𝙞𝙣𝙖𝙨-𝙃𝙪𝙢𝙖𝙣𝙖𝙨⛏⛰,48.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝙃𝙪𝙢𝙖𝙣𝙤 🙎🙎
1212603877673664532,,,,12,2025-05-11T23:28:49.514000+00:00,False,,,𝑩𝒐𝒔𝒒𝒖𝒆-𝑶𝒔𝒄𝒖𝒓𝒐-𝑺𝒆𝒄𝒕𝒐𝒓-𝑨🌲🌲🕷🕷,49.0,𝑩𝒐𝒔𝒒𝒖𝒆 𝑶𝒔𝒄𝒖𝒓𝒐
1333535043817050213,,,,16,2025-05-10T18:45:23.678000+00:00,False,,,𝑩𝒐𝒔𝒒𝒖𝒆-𝑶𝒔𝒄𝒖𝒓𝒐-𝑺𝒆𝒄𝒕𝒐𝒓-𝑩,50.0,𝑩𝒐𝒔𝒒𝒖𝒆 𝑶𝒔𝒄𝒖𝒓𝒐
1336064196911038576,,,,6,2025-05-06T19:23:00.994000+00:00,False,,,zona-de-cuevas-a,51.0,𝑩𝒐𝒔𝒒𝒖𝒆 𝑶𝒔𝒄𝒖𝒓𝒐
1333651603080609903,,,,10,2025-05-25T16:36:05.533000+00:00,False,,,𝑻𝒂𝒃𝒍𝒐𝒏-𝑫𝒓𝒖𝒊𝒅𝒂𝒔,52.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝘿𝙧𝙪𝙞𝙙𝙖 🍃🍃
1215505960043544606,,,,8,2024-12-21T20:35:05.581000+00:00,False,,,𝙄𝙣𝙛𝙤𝙧𝙢𝙖𝙘𝙞ó𝙣-𝘿𝙧𝙪𝙞𝙙𝙖,53.0,𝙏𝙚𝙧𝙧𝙞𝙩𝙤𝙧𝙞𝙤 𝘿𝙧𝙪𝙞𝙙𝙖 🍃🍃
